admin,lat,lng,conf
Genève,46.195602,6.148113,4733
Zürich,47.366667,8.55,3754
Basel-Stadt,47.558395,7.573271,936
Vaud,46.533333,6.666667,5143
Luzern,47.083333,8.266667,667
Graubünden,46.856753,9.526918,794
Schaffhausen,47.697316,8.634929,71
Fribourg,46.79572,7.154748,1029
Neuchâtel,46.993089,6.93005,669
Zug,47.172421,8.517445,208
Aargau,47.389616,8.052354,1052
Solothurn,47.206649,7.516605,379
Schwyz,47.027858,8.656112,287
Basel-Landschaft,47.482779,7.742975,816
Jura,47.366429,7.329005,196
Obwalden,46.898509,8.250681,71
Uri,46.880422,8.644409,334
Glarus,47.04057,9.068036,199
Appenzell Innerrhoden,47.328414,9.409647,25
Nidwalden,46.95805,8.36609,108
Sankt Gallen,47.43639,9.388615,753
Bern,46.916667,7.466667,1708
Appenzell Ausserrhoden,47.3842,9.2766,88
Tessin,46.1903,9.0174,3142
Thurgau,47.5567,8.8962,359
Wallis,46.2302,7.3588,1825
